periodo,sector,coste_laboral
2011Q1,Construccion,2526.25
2011Q2,Construccion,2721.41
2011Q3,Construccion,2517.27
2011Q4,Construccion,2834.83
2012Q1,Construccion,2584.73
2012Q2,Construccion,2791.1
2012Q3,Construccion,2543.53
2012Q4,Construccion,2836.06
2013Q1,Construccion,2563.49
2013Q2,Construccion,2840.08
2013Q3,Construccion,2549.31
2013Q4,Construccion,2856.36
2014Q1,Construccion,2572.64
2014Q2,Construccion,2803.11
2014Q3,Construccion,2560.04
2014Q4,Construccion,2849.36
2015Q1,Construccion,2543.97
2015Q2,Construccion,2781.72
2015Q3,Construccion,2551.96
2015Q4,Construccion,2790.79
2016Q1,Construccion,2487.25
2016Q2,Construccion,2743.76
2016Q3,Construccion,2504.25
2016Q4,Construccion,2751.2
2017Q1,Construccion,2455.31
2017Q2,Construccion,2712.11
2017Q3,Construccion,2505.65
2017Q4,Construccion,2745.66
2018Q1,Construccion,2490.72
2018Q2,Construccion,2720.81
2018Q3,Construccion,2514.9
2018Q4,Construccion,2801.98
2019Q1,Construccion,2514.41
2019Q2,Construccion,2760.72
2019Q3,Construccion,2565.93
2019Q4,Construccion,2867.98
2020Q1,Construccion,2535.24
2020Q2,Construccion,2601.47
2020Q3,Construccion,2560.52
2020Q4,Construccion,2904.11
2021Q1,Construccion,2574.65
2021Q2,Construccion,2838.95
2021Q3,Construccion,2642.02
2021Q4,Construccion,2895.69
2022Q1,Construccion,2649.65
2022Q2,Construccion,2997.2
2022Q3,Construccion,2713.99
2022Q4,Construccion,3051.99
2023Q1,Construccion,2791.89
2023Q2,Construccion,3064.29
2023Q3,Construccion,2833.64
2023Q4,Construccion,3216.73
2024Q1,Construccion,2861.68
2024Q2,Construccion,3147.22
2024Q3,Construccion,2921.69
2024Q4,Construccion,3242.31
2025Q1,Construccion,3003.06
2025Q2,Construccion,3283.67
2025Q3,Construccion,3078.81
2025Q4,Construccion,3374.72
2011Q1,Industria,2790.77
2011Q2,Industria,2911.71
2011Q3,Industria,2796.76
2011Q4,Industria,3092.36
2012Q1,Industria,2863.67
2012Q2,Industria,2986.66
2012Q3,Industria,2847.04
2012Q4,Industria,3115.18
2013Q1,Industria,2906.8
2013Q2,Industria,3041.06
2013Q3,Industria,2918.15
2013Q4,Industria,3157.73
2014Q1,Industria,2935.28
2014Q2,Industria,3094.71
2014Q3,Industria,2946.97
2014Q4,Industria,3202.56
2015Q1,Industria,2927.36
2015Q2,Industria,3081.44
2015Q3,Industria,2935.58
2015Q4,Industria,3190.73
2016Q1,Industria,2942.5
2016Q2,Industria,3092.0
2016Q3,Industria,2935.66
2016Q4,Industria,3209.81
2017Q1,Industria,2967.8
2017Q2,Industria,3105.82
2017Q3,Industria,2943.56
2017Q4,Industria,3243.97
2018Q1,Industria,2976.84
2018Q2,Industria,3134.89
2018Q3,Industria,2975.11
2018Q4,Industria,3252.05
2019Q1,Industria,3030.03
2019Q2,Industria,3191.69
2019Q3,Industria,3015.57
2019Q4,Industria,3291.96
2020Q1,Industria,3039.95
2020Q2,Industria,2886.28
2020Q3,Industria,2976.35
2020Q4,Industria,3295.05
2021Q1,Industria,3100.44
2021Q2,Industria,3224.74
2021Q3,Industria,3060.22
2021Q4,Industria,3341.64
2022Q1,Industria,3145.22
2022Q2,Industria,3353.36
2022Q3,Industria,3172.87
2022Q4,Industria,3448.88
2023Q1,Industria,3355.42
2023Q2,Industria,3524.2
2023Q3,Industria,3314.28
2023Q4,Industria,3645.38
2024Q1,Industria,3490.46
2024Q2,Industria,3690.94
2024Q3,Industria,3477.51
2024Q4,Industria,3780.68
2025Q1,Industria,3668.09
2025Q2,Industria,3817.22
2025Q3,Industria,3595.78
2025Q4,Industria,3889.55
2011Q1,Servicios,2419.7
2011Q2,Servicios,2523.16
2011Q3,Servicios,2381.58
2011Q4,Servicios,2585.97
2012Q1,Servicios,2439.34
2012Q2,Servicios,2496.81
2012Q3,Servicios,2370.98
2012Q4,Servicios,2477.32
2013Q1,Servicios,2391.26
2013Q2,Servicios,2475.84
2013Q3,Servicios,2365.56
2013Q4,Servicios,2540.71
2014Q1,Servicios,2379.63
2014Q2,Servicios,2468.87
2014Q3,Servicios,2349.41
2014Q4,Servicios,2518.01
2015Q1,Servicios,2400.57
2015Q2,Servicios,2487.58
2015Q3,Servicios,2360.74
2015Q4,Servicios,2565.58
2016Q1,Servicios,2395.26
2016Q2,Servicios,2485.88
2016Q3,Servicios,2350.25
2016Q4,Servicios,2538.94
2017Q1,Servicios,2393.6
2017Q2,Servicios,2479.93
2017Q3,Servicios,2360.77
2017Q4,Servicios,2557.89
2018Q1,Servicios,2410.75
2018Q2,Servicios,2496.92
2018Q3,Servicios,2412.76
2018Q4,Servicios,2583.33
2019Q1,Servicios,2466.11
2019Q2,Servicios,2563.63
2019Q3,Servicios,2469.95
2019Q4,Servicios,2651.13
2020Q1,Servicios,2489.44
2020Q2,Servicios,2353.27
2020Q3,Servicios,2441.78
2020Q4,Servicios,2644.66
2021Q1,Servicios,2519.06
2021Q2,Servicios,2678.83
2021Q3,Servicios,2575.66
2021Q4,Servicios,2790.46
2022Q1,Servicios,2662.84
2022Q2,Servicios,2779.4
2022Q3,Servicios,2685.11
2022Q4,Servicios,2914.47
2023Q1,Servicios,2828.02
2023Q2,Servicios,2953.49
2023Q3,Servicios,2825.6
2023Q4,Servicios,3056.27
2024Q1,Servicios,2939.96
2024Q2,Servicios,3074.1
2024Q3,Servicios,2950.88
2024Q4,Servicios,3171.62
2025Q1,Servicios,3042.41
2025Q2,Servicios,3161.7
2025Q3,Servicios,3033.66
2025Q4,Servicios,3298.67
