periodo,concursos,tasa_paro,tasa_morosidad,euribor_12m,coste_construccion,coste_industria,coste_servicios,ipc,ipri_consumo,ipri_energia,ipri_intermedios,pib_var_trimestral,precio_eur_mwh,precio_petroleo_usd,concursos_lag1,concursos_lag2
2011Q3,1206,21.28,10.1981,2.1142,2517.27,2796.76,2381.58,76.319,90.063,81.037,88.369,-0.6102,57.39,111.45,1487.0,1568.0
2011Q4,1649,22.56,11.3208,2.0524,2834.83,3092.36,2585.97,77.32,90.288,82.404,87.461,-0.563,54.26,109.15,1206.0,1487.0
2012Q1,2046,24.19,12.0786,1.671,2584.73,2863.67,2439.34,76.864,90.766,88.806,88.316,-0.9412,49.62,118.84,1649.0,1206.0
2012Q2,2092,24.4,14.4031,1.2813,2791.1,2986.66,2496.81,78.194,91.401,86.425,89.225,-0.9693,41.13,106.26,2046.0,1649.0
2012Q3,1523,24.79,16.0266,0.8969,2543.53,2847.04,2370.98,78.425,92.578,89.063,89.153,-0.4592,51.47,109.82,2092.0,2046.0
2012Q4,2434,25.77,15.4756,0.5987,2836.06,3115.18,2477.32,79.71,93.279,87.399,89.163,-0.8291,49.72,109.23,1523.0,2092.0
2013Q1,2709,26.94,15.4987,0.5716,2563.49,2906.8,2391.26,78.879,93.727,88.47,89.37,-0.2748,48.55,111.66,2434.0,1523.0
2013Q2,2455,26.06,17.2684,0.506,2840.08,3041.06,2475.84,79.542,93.712,84.0,88.553,-0.1026,43.31,101.64,2709.0,2434.0
2013Q3,1801,25.65,18.816,0.5368,2549.31,2918.15,2365.56,79.372,93.818,88.86,87.694,-0.0631,46.98,110.03,2455.0,2709.0
2013Q4,2178,25.73,20.308,0.5301,2856.36,3157.73,2540.71,79.812,93.232,87.896,87.14,0.1902,47.75,109.78,1801.0,2455.0
2014Q1,1927,25.93,19.7178,0.563,2572.64,2935.28,2379.63,78.888,92.724,82.826,86.874,0.3781,24.48,107.74,2178.0,1801.0
2014Q2,1739,24.47,19.4514,0.5691,2803.11,3094.71,2468.87,79.716,92.895,85.221,86.851,0.54,40.97,109.61,1927.0,2178.0
2014Q3,1325,23.67,19.5285,0.4399,2560.04,2946.97,2349.41,79.111,93.228,86.789,87.05,0.7996,46.47,101.87,1739.0,1927.0
2014Q4,1573,23.7,18.4854,0.3337,2849.36,3202.56,2518.01,79.411,93.135,80.987,86.835,0.9668,45.04,71.71,1325.0,1739.0
2015Q1,1460,23.78,17.619,0.2545,2543.97,2927.36,2400.57,78.085,93.851,76.379,86.421,1.2174,47.41,57.77,1573.0,1325.0
2015Q2,1307,22.37,16.2316,0.1694,2781.72,3081.44,2487.58,79.514,94.207,79.327,87.412,1.1198,50.29,65.91,1460.0,1573.0
2015Q3,1070,21.18,15.4427,0.1608,2551.96,2935.58,2360.74,78.785,94.656,77.221,86.875,0.9172,53.59,52.3,1307.0,1460.0
2015Q4,1260,20.9,14.6167,0.0887,2790.79,3190.73,2565.58,79.155,94.207,72.173,85.41,0.893,49.06,44.41,1070.0,1307.0
2016Q1,1085,21.0,14.6307,0.0068,2487.25,2942.5,2395.26,77.571,94.042,62.62,84.364,0.6948,28.16,37.63,1260.0,1070.0
2016Q2,1127,20.0,13.992,-0.0169,2743.76,3092.0,2485.88,78.762,94.106,65.001,84.835,0.3308,32.0,48.99,1085.0,1260.0
2016Q3,913,18.91,13.5285,-0.0537,2504.25,2935.66,2350.25,78.641,94.541,68.601,85.405,0.7905,44.45,46.87,1127.0,1085.0
2016Q4,1172,18.63,13.0998,-0.0744,2751.2,3209.81,2538.94,79.926,94.889,75.062,85.85,0.5684,58.7,52.65,913.0,1127.0
2017Q1,1104,18.75,12.4268,-0.1034,2455.31,2967.8,2393.6,79.699,95.659,77.635,87.876,0.708,57.08,55.21,1172.0,913.0
2017Q2,1214,17.22,11.5825,-0.1326,2712.11,3105.82,2479.93,80.336,96.269,73.308,88.336,1.0456,45.75,50.53,1104.0,1172.0
2017Q3,807,16.38,11.147,-0.1595,2505.65,2943.56,2360.77,79.94,96.263,73.291,88.24,0.6317,49.0,54.12,1214.0,1104.0
2017Q4,1136,16.55,10.2569,-0.186,2745.66,3243.97,2557.89,81.083,95.986,78.034,89.058,0.6088,61.36,63.34,807.0,1214.0
2018Q1,1103,16.74,8.4641,-0.1903,2490.72,2976.84,2410.75,80.459,96.068,77.248,89.843,0.4276,49.15,67.65,1136.0,807.0
2018Q2,1243,15.28,7.8434,-0.1864,2720.81,3134.89,2496.92,81.783,95.922,79.796,90.627,0.652,54.26,77.16,1103.0,1136.0
2018Q3,845,14.55,7.4387,-0.1718,2514.9,2975.11,2412.76,81.725,95.748,85.446,90.929,0.5584,69.71,78.19,1243.0,1103.0
2018Q4,1141,14.45,6.8693,-0.1442,2801.98,3252.05,2583.33,82.47,95.516,84.506,90.921,0.5852,60.86,62.84,845.0,1243.0
2019Q1,1214,14.7,6.7125,-0.1111,2514.41,3030.03,2466.11,81.373,95.51,81.554,90.731,0.6131,47.52,64.91,1141.0,845.0
2019Q2,1155,14.02,6.1628,-0.1451,2760.72,3191.69,2563.63,82.533,96.05,81.37,91.04,0.2884,42.8,66.26,1214.0,1141.0
2019Q3,1041,13.92,5.9303,-0.3254,2565.93,3015.57,2469.95,81.98,96.362,78.766,90.329,0.1916,37.41,61.18,1155.0,1214.0
2019Q4,1379,13.78,5.4062,-0.2802,2867.98,3291.96,2651.13,82.833,96.816,77.863,89.534,0.5707,37.57,61.8,1041.0,1155.0
2020Q1,1192,14.41,5.3118,-0.2685,2535.24,3039.95,2489.44,81.863,97.613,73.247,89.376,-5.1774,32.3,44.21,1379.0,1041.0
2020Q2,802,15.33,4.9323,-0.1135,2601.47,2886.28,2353.27,81.99,96.978,61.63,88.083,-17.7904,20.65,35.2,1192.0,1379.0
2020Q3,1137,16.26,4.9123,-0.3496,2560.52,2976.35,2441.78,81.568,96.704,68.993,88.316,15.9023,36.37,43.83,802.0,1192.0
2020Q4,1499,16.13,4.9809,-0.4811,2904.11,3295.05,2644.66,82.238,97.173,69.675,89.188,0.7256,41.78,45.88,1137.0,802.0
2021Q1,1260,16.14,4.9724,-0.4969,2574.65,3100.44,2519.06,82.348,98.239,75.96,93.158,1.2018,42.33,60.73,1499.0,1137.0
2021Q2,1115,15.39,4.9585,-0.4827,2838.95,3224.74,2678.83,84.089,100.024,85.972,98.186,1.3709,64.65,70.11,1260.0,1499.0
2021Q3,794,14.71,4.852,-0.4938,2642.02,3060.22,2575.66,84.339,100.23,102.755,102.025,1.9711,120.22,75.12,1115.0,1260.0
2021Q4,929,13.44,4.7593,-0.489,2895.69,3341.64,2790.46,87.018,101.507,135.314,106.631,2.0315,207.13,76.77,794.0,1115.0
2022Q1,1125,13.73,4.8276,-0.3465,2649.65,3145.22,2662.84,88.821,105.181,166.517,113.356,1.5718,230.41,97.31,929.0,794.0
2022Q2,1061,12.69,4.5558,0.4016,2997.2,3353.36,2779.4,91.74,110.142,186.697,122.25,1.7012,197.23,110.59,1125.0,929.0
2022Q3,1432,12.73,4.4323,1.4952,2713.99,3172.87,2685.11,92.823,112.554,205.031,121.781,0.8158,168.7,94.92,1061.0,1125.0
2022Q4,1137,12.99,4.2079,2.8253,3051.99,3448.88,2914.47,92.752,115.428,181.548,120.434,0.536,126.75,88.48,1432.0,1061.0
2023Q1,912,13.38,4.1303,3.5071,2791.89,3355.42,2828.02,93.31,119.254,157.323,120.211,0.5101,109.9,82.93,1137.0,1432.0
2023Q2,1255,11.67,4.0902,3.883,3064.29,3524.2,2953.49,94.539,120.698,140.542,117.896,0.144,73.86,76.11,912.0,1137.0
2023Q3,1027,11.89,4.0628,4.1222,2833.64,3314.28,2825.6,95.438,122.144,148.476,115.288,0.7898,98.63,88.15,1255.0,912.0
2023Q4,1350,11.8,4.0643,3.9668,3216.73,3645.38,3056.27,95.783,123.058,141.133,114.21,0.7884,98.71,80.97,1027.0,1255.0
2024Q1,1526,12.29,4.1201,3.6641,2861.68,3490.46,2939.96,96.239,124.507,124.686,114.06,1.113,43.55,83.54,1350.0,1027.0
2024Q2,1474,11.27,3.9818,3.6782,3147.22,3690.94,3074.1,97.808,124.835,118.265,114.892,0.919,41.65,84.15,1526.0,1350.0
2024Q3,1192,11.21,3.976,3.2183,2921.69,3477.51,2950.88,97.503,124.791,133.892,114.285,0.765,86.63,76.51,1474.0,1526.0
2024Q4,1397,10.61,3.8512,2.5506,3242.31,3780.68,3171.62,98.036,123.968,140.392,113.812,0.8137,95.17,73.1,1192.0,1474.0
2025Q1,1666,11.36,3.7464,2.4454,3003.06,3668.09,3042.41,98.856,123.263,145.267,114.989,0.489,77.78,74.77,1397.0,1192.0
2025Q2,1435,10.29,3.5228,2.101,3283.67,3817.22,3161.7,99.914,123.231,121.834,114.37,0.7424,43.29,64.88,1666.0,1397.0
2025Q3,1157,10.45,3.5228,2.121,3078.81,3595.78,3033.66,100.236,123.427,132.264,113.373,0.6434,72.85,68.95,1435.0,1666.0
2025Q4,1613,9.93,3.5228,2.2228,3374.72,3889.55,3298.67,100.993,123.673,130.886,113.41,0.8269,68.37,62.55,1157.0,1435.0
