periodo,precio_eur_mwh
2011Q1,46.87
2011Q2,49.01
2011Q3,57.39
2011Q4,54.26
2012Q1,49.62
2012Q2,41.13
2012Q3,51.47
2012Q4,49.72
2013Q1,48.55
2013Q2,43.31
2013Q3,46.98
2013Q4,47.75
2014Q1,24.48
2014Q2,40.97
2014Q3,46.47
2014Q4,45.04
2015Q1,47.41
2015Q2,50.29
2015Q3,53.59
2015Q4,49.06
2016Q1,28.16
2016Q2,32.0
2016Q3,44.45
2016Q4,58.7
2017Q1,57.08
2017Q2,45.75
2017Q3,49.0
2017Q4,61.36
2018Q1,49.15
2018Q2,54.26
2018Q3,69.71
2018Q4,60.86
2019Q1,47.52
2019Q2,42.8
2019Q3,37.41
2019Q4,37.57
2020Q1,32.3
2020Q2,20.65
2020Q3,36.37
2020Q4,41.78
2021Q1,42.33
2021Q2,64.65
2021Q3,120.22
2021Q4,207.13
2022Q1,230.41
2022Q2,197.23
2022Q3,168.7
2022Q4,126.75
2023Q1,109.9
2023Q2,73.86
2023Q3,98.63
2023Q4,98.71
2024Q1,43.55
2024Q2,41.65
2024Q3,86.63
2024Q4,95.17
2025Q1,77.78
2025Q2,43.29
2025Q3,72.85
2025Q4,68.37
