year,total_companies,small_companies,autonomos,sl_companies,ratio_pyme_empleadoras,ratio_autonomos,ratio_sl
2011,6501152,3094721,3413130,2245572,0.476,0.525,0.3454
2012,6399234,3053377,3312934,2247148,0.4771,0.5177,0.3512
2013,6293140,3009906,3239228,2250082,0.4783,0.5147,0.3575
2014,6238620,2988914,3149458,2275392,0.4791,0.5048,0.3647
2015,6373756,3053761,3253876,2292262,0.4791,0.5105,0.3596
2016,6473164,3097179,3363676,2305626,0.4785,0.5196,0.3562
2017,6564692,3136869,3494318,2324508,0.4778,0.5323,0.3541
2018,6675292,3185314,3572074,2362782,0.4772,0.5351,0.354
2019,6726394,3213557,3695992,2308578,0.4778,0.5495,0.3432
2020,6813992,3250660,3799620,2289698,0.4771,0.5576,0.336
2021,6733140,3224370,3758240,2269264,0.4789,0.5582,0.337
2022,6861326,3283111,3825600,2323696,0.4785,0.5576,0.3387
2023,6415160,3054690,3662266,2116858,0.4762,0.5709,0.33
2024,6510552,3095880,3676948,2187132,0.4755,0.5648,0.3359
2025,6621648,3149352,3719850,2255030,0.4756,0.5618,0.3406
