year,bad_loans,bad_loans_growth
2011,125237468.0,0.2374136681742558
2012,166508546.5,0.3295425814581303
2013,181233311.0,0.08843248475536969
2014,183026588.5,0.009894855918622936
2015,148165316.75,-0.19047107874165503
2016,121430861.5,-0.18043666248228096
2017,104931016.5,-0.135878513881745
2018,76766885.0,-0.26840616282412555
2019,63152280.0,-0.17734997323390156
2020,56610988.75,-0.10357965302282035
2021,53642889.75,-0.05242973255788608
2022,47221491.75,-0.11970641458591447
2023,42084377.25,-0.10878763693440496
2024,40755922.75,-0.03156645260801616
2025,37285681.0,-0.0851469311905102
