year,bad_loans_services,bad_loans_services_growth
2011,72337054.0,0.4010656124790639
2012,99177230.0,0.37104325536950955
2013,99698308.0,0.005254008404953492
2014,97961354.75,-0.017422093562510566
2015,76666213.5,-0.21738308238331094
2016,60155748.25,-0.21535516750152273
2017,46830938.0,-0.2215051867466381
2018,28989518.75,-0.380975056489366
2019,21978856.0,-0.2418343957503606
2020,19080516.0,-0.13186946581751113
2021,19108676.75,0.001475890379484479
2022,17694629.25,-0.07400028366694722
2023,15028651.25,-0.15066594288772683
2024,14108828.5,-0.06120461075973138
2025,12913989.5,-0.084687328930251
