year,year_1,year_2,year_3,accumulated,accumulated_growth,diff_1_2,diff_2_3
2011,24.2,14.0,9.4,47.5,,-10.2,-4.6
2012,24.0,12.5,8.5,45.1,-0.05052631578947364,-11.5,-4.0
2013,22.6,12.3,9.8,44.6,-0.011086474501108667,-10.3,-2.5
2014,23.5,14.2,8.8,46.5,0.04260089686098656,-9.3,-5.399999999999999
2015,22.7,12.3,8.7,43.7,-0.06021505376344083,-10.399999999999999,-3.6000000000000014
2016,23.5,12.4,8.1,44.0,0.00686498855835227,-11.1,-4.300000000000001
2017,24.5,12.4,8.2,45.1,0.025000000000000133,-12.1,-4.200000000000001
2018,23.1,13.4,8.2,44.7,-0.008869179600886845,-9.700000000000001,-5.200000000000001
2019,21.5,12.7,10.9,45.1,0.008948545861297452,-8.8,-1.799999999999999
2020,22.2,14.8,9.4,46.4,0.02882483370288247,-7.399999999999999,-5.4
2021,22.7,14.5,,,0.0,-8.2,
2022,22.7,,,,0.0,,
