periodo,pib_var_trimestral
2011Q1,-0.0786
2011Q2,-0.2588
2011Q3,-0.6102
2011Q4,-0.563
2012Q1,-0.9412
2012Q2,-0.9693
2012Q3,-0.4592
2012Q4,-0.8291
2013Q1,-0.2748
2013Q2,-0.1026
2013Q3,-0.0631
2013Q4,0.1902
2014Q1,0.3781
2014Q2,0.54
2014Q3,0.7996
2014Q4,0.9668
2015Q1,1.2174
2015Q2,1.1198
2015Q3,0.9172
2015Q4,0.893
2016Q1,0.6948
2016Q2,0.3308
2016Q3,0.7905
2016Q4,0.5684
2017Q1,0.708
2017Q2,1.0456
2017Q3,0.6317
2017Q4,0.6088
2018Q1,0.4276
2018Q2,0.652
2018Q3,0.5584
2018Q4,0.5852
2019Q1,0.6131
2019Q2,0.2884
2019Q3,0.1916
2019Q4,0.5707
2020Q1,-5.1774
2020Q2,-17.7904
2020Q3,15.9023
2020Q4,0.7256
2021Q1,1.2018
2021Q2,1.3709
2021Q3,1.9711
2021Q4,2.0315
2022Q1,1.5718
2022Q2,1.7012
2022Q3,0.8158
2022Q4,0.536
2023Q1,0.5101
2023Q2,0.144
2023Q3,0.7898
2023Q4,0.7884
2024Q1,1.113
2024Q2,0.919
2024Q3,0.765
2024Q4,0.8137
2025Q1,0.489
2025Q2,0.7424
2025Q3,0.6434
2025Q4,0.8269
