fecha,precio_eur_mwh
2011-01-01,50.36
2011-02-01,45.07
2011-03-01,45.17
2011-04-01,43.93
2011-05-01,47.9
2011-06-01,55.2
2011-07-01,58.76
2011-08-01,57.09
2011-09-01,56.33
2011-10-01,54.17
2011-11-01,53.84
2011-12-01,54.78
2012-01-01,61.26
2012-02-01,50.48
2012-03-01,37.12
2012-04-01,35.2
2012-05-01,37.11
2012-06-01,51.08
2012-07-01,52.48
2012-08-01,48.4
2012-09-01,53.54
2012-10-01,49.29
2012-11-01,50.3
2012-12-01,49.56
2013-01-01,52.42
2013-02-01,50.07
2013-03-01,43.17
2013-04-01,40.32
2013-05-01,42.55
2013-06-01,47.06
2013-07-01,50.6
2013-08-01,43.1
2013-09-01,47.23
2013-10-01,45.48
2013-11-01,47.63
2013-12-01,50.13
2014-01-01,25.73
2014-02-01,20.74
2014-03-01,26.97
2014-04-01,36.65
2014-05-01,44.23
2014-06-01,42.03
2014-07-01,45.96
2014-08-01,41.39
2014-09-01,52.05
2014-10-01,51.72
2014-11-01,43.07
2014-12-01,40.33
2015-01-01,56.78
2015-02-01,44.12
2015-03-01,41.34
2015-04-01,45.24
2015-05-01,50.27
2015-06-01,55.37
2015-07-01,55.02
2015-08-01,52.47
2015-09-01,53.29
2015-10-01,51.48
2015-11-01,52.23
2015-12-01,43.46
2016-01-01,30.55
2016-02-01,27.6
2016-03-01,26.32
2016-04-01,24.72
2016-05-01,29.64
2016-06-01,41.64
2016-07-01,49.27
2016-08-01,39.65
2016-09-01,44.43
2016-10-01,54.43
2016-11-01,57.5
2016-12-01,64.18
2017-01-01,71.43
2017-02-01,55.48
2017-03-01,44.33
2017-04-01,44.32
2017-05-01,47.56
2017-06-01,45.38
2017-07-01,47.61
2017-08-01,45.51
2017-09-01,53.88
2017-10-01,58.17
2017-11-01,63.42
2017-12-01,62.5
2018-01-01,60.45
2018-02-01,44.16
2018-03-01,42.85
2018-04-01,43.2
2018-05-01,57.43
2018-06-01,62.15
2018-07-01,66.18
2018-08-01,70.26
2018-09-01,72.69
2018-10-01,68.16
2018-11-01,58.69
2018-12-01,55.73
2019-01-01,52.58
2019-02-01,46.38
2019-03-01,43.61
2019-04-01,50.75
2019-05-01,41.05
2019-06-01,36.59
2019-07-01,34.94
2019-08-01,37.77
2019-09-01,39.51
2019-10-01,42.96
2019-11-01,35.2
2019-12-01,34.56
2020-01-01,38.67
2020-02-01,35.37
2020-03-01,22.86
2020-04-01,14.4
2020-05-01,21.93
2020-06-01,25.61
2020-07-01,31.48
2020-08-01,33.96
2020-09-01,43.67
2020-10-01,41.99
2020-11-01,35.89
2020-12-01,47.45
2021-01-01,62.2
2021-02-01,20.62
2021-03-01,44.16
2021-04-01,52.44
2021-05-01,66.1
2021-06-01,75.4
2021-07-01,92.84
2021-08-01,112.38
2021-09-01,155.44
2021-10-01,199.65
2021-11-01,183.27
2021-12-01,238.47
2022-01-01,245.21
2022-02-01,163.02
2022-03-01,283.0
2022-04-01,215.73
2022-05-01,192.43
2022-06-01,183.52
2022-07-01,183.32
2022-08-01,148.38
2022-09-01,174.39
2022-10-01,146.84
2022-11-01,117.85
2022-12-01,115.57
2023-01-01,136.51
2023-02-01,110.88
2023-03-01,82.3
2023-04-01,78.93
2023-05-01,68.49
2023-06-01,74.15
2023-07-01,86.23
2023-08-01,90.14
2023-09-01,119.53
2023-10-01,84.8
2023-11-01,94.27
2023-12-01,117.07
2024-01-01,73.25
2024-02-01,37.1
2024-03-01,20.31
2024-04-01,13.67
2024-05-01,49.82
2024-06-01,61.45
2024-07-01,84.72
2024-08-01,91.07
2024-09-01,84.1
2024-10-01,69.83
2024-11-01,104.43
2024-12-01,111.24
2025-01-01,72.0
2025-02-01,108.31
2025-03-01,53.03
2025-04-01,26.87
2025-05-01,55.0
2025-06-01,48.0
2025-07-01,70.47
2025-08-01,68.57
2025-09-01,79.5
2025-10-01,68.54
2025-11-01,58.65
2025-12-01,77.91
2026-01-01,97.56
2026-02-01,16.41
2026-03-01,41.7
